Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	regulation of cardiac muscle cell action potential (GO:0098901)	2/25	3.137939e-05	4.298977e-03	0	0	3.473043e+02	3.601324e+03	FGF13;CALM1
GO_Biological_Process_2021	regulation of cation channel activity (GO:2001257)	2/89	4.052639e-04	2.305448e-02	0	0	9.152184e+01	7.148745e+02	FGF13;CALM1
GO_Biological_Process_2021	regulation of voltage-gated sodium channel activity (GO:1905150)	1/5	1.748917e-03	2.305448e-02	0	0	8.328750e+02	5.287722e+03	FGF13
GO_Biological_Process_2021	negative regulation of collateral sprouting (GO:0048671)	1/5	1.748917e-03	2.305448e-02	0	0	8.328750e+02	5.287722e+03	FGF13
GO_Biological_Process_2021	cerebral cortex cell migration (GO:0021795)	1/6	2.098387e-03	2.305448e-02	0	0	6.662667e+02	4.108591e+03	FGF13
GO_Biological_Process_2021	telencephalon cell migration (GO:0022029)	1/6	2.098387e-03	2.305448e-02	0	0	6.662667e+02	4.108591e+03	FGF13
GO_Biological_Process_2021	mitochondrion-endoplasmic reticulum membrane tethering (GO:1990456)	1/7	2.447753e-03	2.305448e-02	0	0	5.551944e+02	3.338154e+03	CALM1
GO_Biological_Process_2021	tachykinin receptor signaling pathway (GO:0007217)	1/7	2.447753e-03	2.305448e-02	0	0	5.551944e+02	3.338154e+03	TAC1
GO_Biological_Process_2021	autophagosome membrane docking (GO:0016240)	1/7	2.447753e-03	2.305448e-02	0	0	5.551944e+02	3.338154e+03	CALM1
GO_Biological_Process_2021	regulation of cardiac muscle cell action potential involved in regulation of contraction (GO:0098909)	1/8	2.797015e-03	2.305448e-02	0	0	4.758571e+02	2.797661e+03	FGF13
GO_Biological_Process_2021	regulation of collateral sprouting (GO:0048670)	1/8	2.797015e-03	2.305448e-02	0	0	4.758571e+02	2.797661e+03	FGF13
GO_Biological_Process_2021	regulation of cyclic-nucleotide phosphodiesterase activity (GO:0051342)	1/8	2.797015e-03	2.305448e-02	0	0	4.758571e+02	2.797661e+03	CALM1
GO_Biological_Process_2021	positive regulation of ryanodine-sensitive calcium-release channel activity (GO:0060316)	1/8	2.797015e-03	2.305448e-02	0	0	4.758571e+02	2.797661e+03	CALM1
GO_Biological_Process_2021	anterograde trans-synaptic signaling (GO:0098916)	2/244	2.989614e-03	2.305448e-02	0	0	3.264628e+01	1.897601e+02	CALM1;PRKACB
GO_Biological_Process_2021	regulation of high voltage-gated calcium channel activity (GO:1901841)	1/10	3.495224e-03	2.305448e-02	0	0	3.700741e+02	2.093271e+03	CALM1
GO_Biological_Process_2021	negative regulation of voltage-gated calcium channel activity (GO:1901386)	1/10	3.495224e-03	2.305448e-02	0	0	3.700741e+02	2.093271e+03	CALM1
GO_Biological_Process_2021	inhibitory synapse assembly (GO:1904862)	1/11	3.844172e-03	2.305448e-02	0	0	3.330500e+02	1.852157e+03	FGF13
GO_Biological_Process_2021	tetrahydrobiopterin metabolic process (GO:0046146)	1/11	3.844172e-03	2.305448e-02	0	0	3.330500e+02	1.852157e+03	CALM1
GO_Biological_Process_2021	negative regulation of ryanodine-sensitive calcium-release channel activity (GO:0060315)	1/12	4.193015e-03	2.305448e-02	0	0	3.027576e+02	1.657396e+03	CALM1
GO_Biological_Process_2021	regulation of cell communication by electrical coupling involved in cardiac conduction (GO:1901844)	1/12	4.193015e-03	2.305448e-02	0	0	3.027576e+02	1.657396e+03	CALM1
GO_Biological_Process_2021	negative regulation of release of sequestered calcium ion into cytosol (GO:0051280)	1/12	4.193015e-03	2.305448e-02	0	0	3.027576e+02	1.657396e+03	CALM1
GO_Biological_Process_2021	regulation of cell communication by electrical coupling (GO:0010649)	1/13	4.541754e-03	2.305448e-02	0	0	2.775139e+02	1.497033e+03	CALM1
GO_Biological_Process_2021	detection of calcium ion (GO:0005513)	1/13	4.541754e-03	2.305448e-02	0	0	2.775139e+02	1.497033e+03	CALM1
GO_Biological_Process_2021	pteridine-containing compound metabolic process (GO:0042558)	1/13	4.541754e-03	2.305448e-02	0	0	2.775139e+02	1.497033e+03	CALM1
GO_Biological_Process_2021	high-density lipoprotein particle assembly (GO:0034380)	1/13	4.541754e-03	2.305448e-02	0	0	2.775139e+02	1.497033e+03	PRKACB
GO_Biological_Process_2021	MAPK cascade (GO:0000165)	2/303	4.568558e-03	2.305448e-02	0	0	2.616877e+01	1.410119e+02	FGF13;CALM1
GO_Biological_Process_2021	chemical synaptic transmission (GO:0007268)	2/306	4.657283e-03	2.305448e-02	0	0	2.590658e+01	1.391008e+02	CALM1;PRKACB
GO_Biological_Process_2021	glycogen catabolic process (GO:0005980)	1/15	5.238917e-03	2.305448e-02	0	0	2.378452e+02	1.249078e+03	CALM1
GO_Biological_Process_2021	glucan catabolic process (GO:0009251)	1/15	5.238917e-03	2.305448e-02	0	0	2.378452e+02	1.249078e+03	CALM1
GO_Biological_Process_2021	protein kinase A signaling (GO:0010737)	1/15	5.238917e-03	2.305448e-02	0	0	2.378452e+02	1.249078e+03	PRKACB
GO_Biological_Process_2021	cellular polysaccharide catabolic process (GO:0044247)	1/16	5.587342e-03	2.305448e-02	0	0	2.219778e+02	1.151455e+03	CALM1
