Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Long-term potentiation	2/67	2.296555e-04	4.485551e-03	0	0	1.226338e+02	1.027540e+03	CALM1;PRKACB
KEGG_2021_Human	Amphetamine addiction	2/69	2.435967e-04	4.485551e-03	0	0	1.189612e+02	9.897567e+02	CALM1;PRKACB
KEGG_2021_Human	Renin secretion	2/69	2.435967e-04	4.485551e-03	0	0	1.189612e+02	9.897567e+02	CALM1;PRKACB
KEGG_2021_Human	Gastric acid secretion	2/76	2.955844e-04	4.485551e-03	0	0	1.076703e+02	8.749885e+02	CALM1;PRKACB
KEGG_2021_Human	Salivary secretion	2/93	4.424318e-04	4.485551e-03	0	0	8.748132e+01	6.756378e+02	CALM1;PRKACB
KEGG_2021_Human	GnRH signaling pathway	2/93	4.424318e-04	4.485551e-03	0	0	8.748132e+01	6.756378e+02	CALM1;PRKACB
KEGG_2021_Human	Circadian entrainment	2/97	4.812035e-04	4.485551e-03	0	0	8.378105e+01	6.400219e+02	CALM1;PRKACB
KEGG_2021_Human	Aldosterone synthesis and secretion	2/98	4.911466e-04	4.485551e-03	0	0	8.290417e+01	6.316276e+02	CALM1;PRKACB
KEGG_2021_Human	Inflammatory mediator regulation of TRP channels	2/98	4.911466e-04	4.485551e-03	0	0	8.290417e+01	6.316276e+02	CALM1;PRKACB
KEGG_2021_Human	Melanogenesis	2/101	5.215757e-04	4.485551e-03	0	0	8.037980e+01	6.075633e+02	CALM1;PRKACB
KEGG_2021_Human	Glucagon signaling pathway	2/107	5.851280e-04	4.574637e-03	0	0	7.576381e+01	5.639615e+02	CALM1;PRKACB
KEGG_2021_Human	Oocyte meiosis	2/129	8.487235e-04	4.838330e-03	0	0	6.257008e+01	4.424816e+02	CALM1;PRKACB
KEGG_2021_Human	Dopaminergic synapse	2/132	8.883708e-04	4.838330e-03	0	0	6.111692e+01	4.294149e+02	CALM1;PRKACB
KEGG_2021_Human	Vascular smooth muscle contraction	2/133	9.017832e-04	4.838330e-03	0	0	6.064733e+01	4.252067e+02	CALM1;PRKACB
KEGG_2021_Human	Insulin signaling pathway	2/137	9.564141e-04	4.838330e-03	0	0	5.883852e+01	4.090642e+02	CALM1;PRKACB
KEGG_2021_Human	Apelin signaling pathway	2/137	9.564141e-04	4.838330e-03	0	0	5.883852e+01	4.090642e+02	CALM1;PRKACB
KEGG_2021_Human	Estrogen signaling pathway	2/137	9.564141e-04	4.838330e-03	0	0	5.883852e+01	4.090642e+02	CALM1;PRKACB
KEGG_2021_Human	Adrenergic signaling in cardiomyocytes	2/150	1.144778e-03	5.458967e-03	0	0	5.363514e+01	3.632464e+02	CALM1;PRKACB
KEGG_2021_Human	Oxytocin signaling pathway	2/154	1.206051e-03	5.458967e-03	0	0	5.221316e+01	3.508935e+02	CALM1;PRKACB
KEGG_2021_Human	Alcoholism	2/186	1.751927e-03	7.533287e-03	0	0	4.306304e+01	2.733228e+02	CALM1;PRKACB
KEGG_2021_Human	cAMP signaling pathway	2/216	2.352585e-03	9.634396e-03	0	0	3.697009e+01	2.237519e+02	CALM1;PRKACB
KEGG_2021_Human	Human cytomegalovirus infection	2/225	2.549353e-03	9.965652e-03	0	0	3.546188e+01	2.117754e+02	CALM1;PRKACB
KEGG_2021_Human	Ras signaling pathway	2/232	2.707640e-03	1.012422e-02	0	0	3.437043e+01	2.031869e+02	CALM1;PRKACB
KEGG_2021_Human	Calcium signaling pathway	2/240	2.894135e-03	1.037065e-02	0	0	3.320168e+01	1.940661e+02	CALM1;PRKACB
KEGG_2021_Human	Parkinson disease	2/249	3.111048e-03	1.070201e-02	0	0	3.197733e+01	1.845986e+02	CALM1;PRKACB
KEGG_2021_Human	Olfactory transduction	2/440	9.424754e-03	3.108834e-02	0	0	1.785845e+01	8.329922e+01	CALM1;PRKACB
KEGG_2021_Human	Phototransduction	1/28	9.760292e-03	3.108834e-02	0	0	1.232469e+02	5.705633e+02	CALM1
KEGG_2021_Human	Pathways in cancer	2/531	1.352334e-02	4.153598e-02	0	0	1.471758e+01	6.333472e+01	CALM1;PRKACB
KEGG_2021_Human	Vasopressin-regulated water reabsorption	1/44	1.530088e-02	4.537503e-02	0	0	7.732558e+01	3.232089e+02	PRKACB
KEGG_2021_Human	Cocaine addiction	1/49	1.702686e-02	4.761315e-02	0	0	6.925347e+01	2.820669e+02	PRKACB
KEGG_2021_Human	Vibrio cholerae infection	1/50	1.737174e-02	4.761315e-02	0	0	6.783673e+01	2.749362e+02	PRKACB
KEGG_2021_Human	Ovarian steroidogenesis	1/51	1.771652e-02	4.761315e-02	0	0	6.647667e+01	2.681175e+02	PRKACB
KEGG_2021_Human	Endocrine and other factor-regulated calcium reabsorption	1/53	1.840577e-02	4.776408e-02	0	0	6.391346e+01	2.553401e+02	PRKACB
