Term,Adjusted P-value,Overlap,P-value,Combined Score
Long-term potentiation,0.004485551,2/67,0.0002296555,1027.54
Amphetamine addiction,0.004485551,2/69,0.0002435967,989.7567
Renin secretion,0.004485551,2/69,0.0002435967,989.7567
Gastric acid secretion,0.004485551,2/76,0.0002955844,874.9885
Salivary secretion,0.004485551,2/93,0.0004424318,675.6378
GnRH signaling pathway,0.004485551,2/93,0.0004424318,675.6378
Circadian entrainment,0.004485551,2/97,0.0004812035,640.0219
Aldosterone synthesis and secretion,0.004485551,2/98,0.0004911466,631.6276
Inflammatory mediator regulation of TRP channels,0.004485551,2/98,0.0004911466,631.6276
Melanogenesis,0.004485551,2/101,0.0005215757,607.5633
Glucagon signaling pathway,0.004574637,2/107,0.000585128,563.9615
Oocyte meiosis,0.00483833,2/129,0.0008487235,442.4816
Dopaminergic synapse,0.00483833,2/132,0.0008883708,429.4149
Vascular smooth muscle contraction,0.00483833,2/133,0.0009017832,425.2067
Insulin signaling pathway,0.00483833,2/137,0.0009564141,409.0642
Apelin signaling pathway,0.00483833,2/137,0.0009564141,409.0642
Estrogen signaling pathway,0.00483833,2/137,0.0009564141,409.0642
Adrenergic signaling in cardiomyocytes,0.005458967,2/150,0.001144778,363.2464
Oxytocin signaling pathway,0.005458967,2/154,0.001206051,350.8935
Alcoholism,0.007533287,2/186,0.001751927,273.3228
cAMP signaling pathway,0.009634396,2/216,0.002352585,223.7519
Human cytomegalovirus infection,0.009965652,2/225,0.002549353,211.7754
Ras signaling pathway,0.01012422,2/232,0.00270764,203.1869
Calcium signaling pathway,0.01037065,2/240,0.002894135,194.0661
Parkinson disease,0.01070201,2/249,0.003111048,184.5986
Olfactory transduction,0.03108834,2/440,0.009424754,83.29922
Phototransduction,0.03108834,1/28,0.009760292,570.5633
Pathways in cancer,0.04153598,2/531,0.01352334,63.33472
Vasopressin-regulated water reabsorption,0.04537503,1/44,0.01530088,323.2089
Cocaine addiction,0.04761315,1/49,0.01702686,282.0669
Vibrio cholerae infection,0.04761315,1/50,0.01737174,274.9362
Ovarian steroidogenesis,0.04761315,1/51,0.01771652,268.1175
Endocrine and other factor-regulated calcium reabsorption,0.04776408,1/53,0.01840577,255.3401
Regulation of lipolysis in adipocytes,0.04776408,1/55,0.01909461,243.5973
Hedgehog signaling pathway,0.04776408,1/56,0.01943887,238.0767
Cortisol synthesis and secretion,0.05382781,1/65,0.02253257,196.8401
Thyroid hormone synthesis,0.05800016,1/75,0.0259602,163.8019
Glioma,0.05800016,1/75,0.0259602,163.8019
Pertussis,0.05800016,1/76,0.0263024,161.0302
Insulin secretion,0.05874733,1/86,0.0297187,137.2473
Taste transduction,0.05874733,1/86,0.0297187,137.2473
ECM-receptor interaction,0.05874733,1/88,0.03040072,133.2134
Gap junction,0.05874733,1/88,0.03040072,133.2134
GABAergic synapse,0.05874733,1/89,0.03074158,131.2727
Bile secretion,0.05874733,1/90,0.03108234,129.3803
Morphine addiction,0.05874733,1/91,0.03142299,127.5346
Dilated cardiomyopathy,0.05925965,1/96,0.03312471,118.9508
Phosphatidylinositol signaling system,0.05925965,1/97,0.03346475,117.353
Progesterone-mediated oocyte maturation,0.05925965,1/100,0.03448425,112.7746
Amoebiasis,0.05925965,1/102,0.0351634,109.8902
