Gene,importance
CALM1,0.2908318850186353
DCLK1,0.24448895359936113
TAC1,0.2318500706872728
HBB,0.22856090460227865
HMGN2,0.21105743040354064
PNMAL1,0.20629124790492057
PCP4,0.19973992471011612
SYT1,0.19458882994329063
UCHL1,0.17870685647094248
RGS4,0.17488905780009859
FGF13,0.16827444998120558
INPP5F,0.16042091652921206
TUBB2A,0.1500843613650459
RTN3,0.14881477419584935
SV2C,0.14614819045388572
PRKACB,0.1362025488618359
TCEAL4,0.13141981663805644
PPIA,0.12944032107780065
SYNGR3,0.12604007322042318
RTN1,0.11811482172688792
SPCS1,0.11249421168558892
CHCHD2,0.1123782957845192
VSNL1,0.11180282518365424
NEFM,0.10568885568078337
MXRA7,0.10545499782701263
ATP5E,0.10423162273196249
KARS,0.09903781893995728
NARS,0.09788405117047871
STXBP1,0.0967834731888548
HINT1,0.09470305451603821
TOMM20,0.0942120276293444
LDHA,0.09362198870365224
HEY1,0.0928747541225403
COX5B,0.09078010735936977
MAP1B,0.0900741527256078
RAB3GAP1,0.08989672787233127
HIGD1A,0.08941400512187667
PGAM1,0.08752306976440787
RPL15,0.0851087793155399
DKK3,0.08264733449403566
ARL6IP5,0.08231536108245409
TCEAL2,0.08218992029684372
ATP5G3,0.08125010266875894
PPP2R2B,0.08070766916058812
RTN4,0.07626132025309759
NPTN,0.07623380618547185
MDH1,0.07604221025986987
BEX1,0.07425053416958961
NDUFB8,0.07368617544511764
NEFL,0.07328505965632662
SCG5,0.07301922433170954
ATP5F1,0.0715601625234845
TERF2IP,0.07101908392648222
PARK7,0.06803580137216964
YWHAB,0.06512720775687286
CIRBP,0.06372291969959226
ATP6V1A,0.06333238255930682
ATP6V1D,0.05779481360026657
GABARAPL1,0.057694313045197954
SKP1,0.056321656371273364
SERPINI1,0.05628933275858309
DDX24,0.0562207872723039
PAM,0.05498869237851896
PRKCZ,0.0545236873110202
ARPP19,0.05187810368928554
NPM1,0.05165075210441766
ARL8B,0.05147547737519959
EIF3L,0.051359884071702694
ATP5O,0.05099103135195174
COX4I1,0.05042746073000158
GABARAPL2,0.04907717684465165
GLS,0.04877162756967679
NEFH,0.04856362953520776
RAB1A,0.04815378842848484
COX7A2,0.047411792433440784
DNAJC6,0.04721298518523833
SLC25A3,0.046971005238018636
LDHB,0.046435202977578596
PFN2,0.04610959050405088
SRP14,0.04598145694250221
TRIM37,0.04597761070070305
LAPTM4B,0.045819310924668906
CLTC,0.043870502774236486
ATP6V0E2,0.043517193123182196
NDUFB1,0.04349825137943178
SUMO3,0.04272479323352606
LANCL1,0.042325123852322816
GABARAPL3,0.0419540450810176
PCMT1,0.04130101451412359
COX6C,0.04075127042142606
PGRMC1,0.03914047091819714
GAP43,0.038789763784050295
DSTN,0.03744992192580042
RAB5A,0.03561803049343584
TUBA1A,0.03522392915335849
PSMB4,0.03479643082211167
PPP3CA,0.03400915366862941
ATP1B1,0.03306991105754679
RPL31,0.03230342666708036
ACTR3,0.031767872028267155
NDUFA4,0.031418140289120995
BASP1,0.031016490831270255
SCG2,0.030715113045864665
PPA1,0.027893281820047886
CUTA,0.027573276048649235
RPL24,0.026700833031798765
REEP5,0.026481207070817196
BEX3,0.025698582418411643
ALDOA,0.02518234176255337
ANK3,0.02507196274760481
CHN1,0.023739725515642122
TOMM70,0.023730102790373353
NDUFA1,0.023648504470719024
SPCS2,0.023320262705802165
DNAJA1,0.023152990637373316
MLLT11,0.02306641732034692
RPL41,0.02172339086111149
RCAN2,0.019663998399239675
ATP5B,0.019270398676115637
GHITM,0.017636915613396944
PEG3,0.016343776877297385
INA,0.015873594295666937
PREPL,0.014928230337235867
MAGED1,0.014806885487447713
COX7C,0.013934874044742985
DYNC1I1,0.01388092694594733
YWHAQ,0.013730370749076652
C14orf2,0.012582377262318695
ATP5A1,0.012006044386198284
SLC25A6,0.011081913061895028
YWHAZ,0.008871770884563401
ATP5C1,0.007722842362402073
NSG1,0.007498627342917058
TMA7,0.005453342373470987
GAD1,0.004688803999004187
VDAC3,0.003799565599864675
NDUFB2,0.0031691291258997994
SOD1,0.00280676863275726
SNAP25,0.0021025916271162626
CYCS,0.0015946677060545283
ATP9A,0.0015258472488541882
STMN2,0.0012290227617245055
