Gene,scores,logfoldchanges,pvals,pvals_adj
CTDSPL,6.068279,0.28885227,1.2928840464775136e-09,2.8809335207658436e-05
MLXIP,5.781161,0.25879544,7.418700036526801e-09,5.5103630971308904e-05
MIR4745///PTBP1,5.6725216,0.29114592,1.4071093907598987e-08,5.985112454728187e-05
SHMT2,5.6570015,0.15472622,1.5404041559970292e-08,5.985112454728187e-05
MIR4745///PTBP1,5.6492414,0.24366449,1.6115727114109015e-08,5.985112454728187e-05
MAP3K3,5.455243,0.21351713,4.8905952581759605e-08,0.00014229817097157046
PTBP1,5.447483,0.20475388,5.1087616917496014e-08,0.00014229817097157046
ZNF783,5.424203,0.21666713,5.82136661855255e-08,0.00014413056929022942
NOP2,5.4009233,0.19816579,6.629879049514463e-08,0.00014773359486033077
ZNF324,5.3543634,0.341657,8.585807648528128e-08,0.00016216955884568114
CXXC1,5.3233237,0.25882983,1.0188815796075646e-07,0.00016216955884568114
ITPK1,5.3233237,0.20235355,1.0188815796075646e-07,0.00016216955884568114
PRR14,5.3233237,0.3236296,1.0188815796075646e-07,0.00016216955884568114
POU2F1,5.2690043,0.21724959,1.371658693227144e-07,0.00020376447107453634
ABCC10,5.237964,0.17118758,1.6235740995222687e-07,0.00022611313537284196
ZNF277,5.2069244,0.2922805,1.9199609716291244e-07,0.00023768050183784324
RNF24,5.1681247,0.34641317,2.3645436747158386e-07,0.00026344563351846513
TBC1D2B,5.152605,0.191647,2.568927833189463e-07,0.00027258770908076575
CLN3,5.1215653,0.22674389,3.030100180630654e-07,0.0003069078287499675
,5.090525,0.27753365,3.570728150505275e-07,0.00034537301323952065
P3H1,5.0750055,0.24779047,3.8748486877835197e-07,0.00034537301323952065
POGLUT1,5.0284457,0.28852338,4.944712842806698e-07,0.00042378090875485247
MIR4745///PTBP1,4.9663663,0.19066049,6.821908073623953e-07,0.0005241813020846985
PHF10,4.9586062,0.19747661,7.100070252317608e-07,0.0005273695514413109
CBS,4.9353266,0.22459789,8.001682121533586e-07,0.0005300814019862314
